DATE;STORE;ITEM;STOCK
2018-01-08;L972;2108796;6.0
2018-01-08;L971;2108796;6.0
2018-01-08;L953;2108796;6.0
2018-01-08;L952;2108796;6.0
2018-01-08;L948;2108796;6.0
2018-01-08;L947;2108796;6.0
2018-01-08;L943;2108796;6.0
2018-01-08;L939;2108796;6.0
2018-01-08;L938;2108796;6.0
2018-01-08;L931;2108796;6.0
2018-01-08;L929;2108796;6.0
2018-01-08;L797;2108796;6.0
2018-01-08;L794;2108796;6.0
2018-01-08;L787;2108796;6.0
2018-01-08;L784;2108796;6.0
2018-01-08;L780;2108796;6.0
2018-01-08;L778;2108796;6.0
2018-01-08;L763;2108796;6.0
2018-01-08;L762;2108796;6.0
2018-01-08;L761;2108796;6.0
2018-01-08;L757;2108796;6.0
2018-01-08;L751;2108796;6.0
2018-01-08;L750;2108796;6.0
2018-01-08;L748;2108796;6.0
2018-01-08;L746;2108796;6.0
2018-01-08;L745;2108796;12.0
2018-01-08;L744;2108796;6.0
2018-01-08;L743;2108796;6.0
2018-01-08;L740;2108796;6.0
2018-01-08;L739;2108796;12.0
2018-01-08;L738;2108796;24.0
2018-01-08;L737;2108796;6.0
2018-01-08;L735;2108796;6.0
2018-01-08;L732;2108796;12.0
2018-01-08;L729;2108796;6.0
2018-01-08;L724;2108796;6.0
2018-01-08;L720;2108796;6.0
2018-01-08;L719;2108796;6.0
2018-01-08;L716;2108796;6.0
2018-01-08;L711;2108796;12.0
2018-01-08;L709;2108796;12.0
2018-01-08;L706;2108796;6.0
2018-01-08;L704;2108796;6.0
2018-01-08;L703;2108796;12.0
2018-01-08;L698;2108796;12.0
2018-01-08;L694;2108796;6.0
2018-01-08;L691;2108796;6.0
2018-01-08;L689;2108796;12.0
2018-01-08;L685;2108796;12.0
2018-01-08;L684;2108796;6.0
2018-01-08;L678;2108796;6.0
2018-01-08;L674;2108796;6.0
2018-01-08;L673;2108796;6.0
2018-01-08;L672;2108796;6.0
2018-01-08;L671;2108796;6.0
2018-01-08;L670;2108796;6.0
2018-01-08;L669;2108796;12.0
2018-01-08;L667;2108796;6.0
2018-01-08;L665;2108796;6.0
2018-01-08;L663;2108796;12.0
2018-01-08;L662;2108796;6.0
2018-01-08;L661;2108796;6.0
2018-01-08;L660;2108796;6.0
2018-01-08;L659;2108796;12.0
2018-01-08;L658;2108796;6.0
2018-01-08;L657;2108796;12.0
2018-01-08;L653;2108796;30.0
2018-01-08;L652;2108796;12.0
2018-01-08;L649;2108796;6.0
2018-01-08;L648;2108796;6.0
2018-01-08;L646;2108796;12.0
2018-01-08;L645;2108796;6.0
2018-01-08;L644;2108796;6.0
2018-01-08;L643;2108796;6.0
2018-01-08;L641;2108796;6.0
2018-01-08;L640;2108796;6.0
2018-01-08;L639;2108796;12.0
2018-01-08;L637;2108796;6.0
2018-01-08;L636;2108796;12.0
2018-01-08;L635;2108796;6.0
2018-01-08;L632;2108796;12.0
2018-01-08;L630;2108796;12.0
2018-01-08;L627;2108796;6.0
2018-01-08;L626;2108796;12.0
2018-01-08;L624;2108796;6.0
2018-01-08;L621;2108796;6.0
2018-01-08;L615;2108796;6.0
